System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,json in csv file,Link,Citations,Inclusion criteria,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training cost (2020 USD),Compute Sponsor Categorization
,Vision,,University of Oxford,Academia,"S Wu, C Rupprecht, A Vedaldi",25/11/2019,2019,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,https://arxiv.org/abs/1911.11130,6.60E+01,,,,,,,,,,,,,,,Academia
Theseus,Other,Maze solving,Bell Laboratories,Industry,Claude Shannon,02/07/1950,1950,Mighty Mouse,https://www.technologyreview.com/2018/12/19/138508/mighty-mouse/,N/A,Historical relevance,4.00E+01,4.0E+01,,4.00E+01,,,,,,,,,,Industry
SNARC,Other,Maze solving,Harvard University Psychological Laboratories,Academia,Marvin Minsky,08/01/1952,1952,A Neural-Analogue Calculator Based upon a Probability Model of Reinforcement,https://en.wikipedia.org/wiki/Stochastic_neural_analog_reinforcement_calculator,3.30E+01,Historical relevance,4.00E+01,,,,,,,,,,,,,Academia
,,,Institute for Advanced Study,,NA Barricelli,02/07/1954,1954,Esempi numerici di processi di evoluzione,https://link.springer.com/article/10.1007/BF01556771,2.66E+02,Historical relevance,,,,,,,,,,,,,,
Self Organizing System,Vision,Pattern recognition,Massachusetts Institute of Technology,Academia,W. A. Clark and B. G. Farley,01/03/1955,1955,Generalization of pattern recognition in a self-organizing system,https://dl.acm.org/doi/10.1145/1455292.1455309,8.30E+01,Historical relevance,2.25E+02,,,2.56E+02,,,,,,,,,,Academia
,Vision,Character recognition,Massachusetts Institute of Technology,Academia,O. G. Selfridge,01/03/1955,1955,Pattern recognition and learning,https://dl.acm.org/doi/10.1145/1455292.1455310,2.90E+02,Historical relevance,,,,,,,,,,,,,,Academia
,Vision,,Princeton University,Academia,AM Uttley,01/07/1956,1956,Conditional probability machines,https://www.moma.org/collection/works/illustratedbooks/16252?locale=es,8.40E+01,Historical relevance,,,,,,,,,,,,,,Academia
Perceptron Mark I,Vision,Binary classification,Cornell Aeronautical Laboratory,Industry,F Rosenblatt,01/01/1957,1957,The Perceptron—a perceiving and recognizing automaton,https://blogs.umass.edu/brain-wars/files/2016/03/rosenblatt-1957.pdf,1.61E+03,Historical relevance,4.00E+02,6.9E+05,,6.00E+00,N/A,,,,,,,N/A,N/A,Industry
Samuel Neural Checkers,Games,Checkers,IBM,Industry,Arthur L. Samuel,01/07/1959,1959,Some studies in machine learning using the game of checkers,https://ieeexplore.ieee.org/abstract/document/5392560,4.15E+03,Highly cited,1.60E+01,4.3E+08,,5.30E+04,N/A,,9,7.5,,,,,,Industry
,Vision,Character recognition,Sandia Corporation,Industry,"W. W. Bledsoe, I. Browning",01/12/1959,1959,Pattern recognition and reading by machine,https://www.computer.org/csdl/proceedings-article/afips/1959/50550225/12OmNqN6R43,5.53E+02,Historical relevance,2.63E+03,,,,,,,,,,,,,Industry
